country_code,customer_id,invoice_number,invoice_date,due_date,invoice_amount,settled_date,process_type
391,0379-NEVHP,611365,1/2/2013,2/1/2013,55.94,1/15/2013,Paper
406,8976-AMJEO,7900770,1/26/2013,2/25/2013,61.74,3/3/2013,Electronic
391,2820-XGXSB,9231909,7/3/2013,8/2/2013,65.88,7/8/2013,Electronic
406,9322-YCTQO,9888306,2/10/2013,3/12/2013,105.92,3/17/2013,Electronic
818,6627-ELFBK,15752855,10/25/2012,11/24/2012,72.27,11/28/2012,Paper
818,5148-SYKLB,18104516,1/27/2012,2/26/2012,94,2/22/2012,Paper
897,8690-EEBEO,23864272,8/13/2013,9/12/2013,74.69,9/9/2013,Electronic
770,4460-ZXNDN,27545037,12/16/2012,1/15/2013,75.06,1/12/2013,Paper
770,3831-FXWYK,28049695,5/14/2012,6/13/2012,80.07,7/1/2012,Paper
897,7654-DOLHO,32277701,7/1/2013,7/31/2013,48.33,7/26/2013,Electronic
770,3993-QUNVJ,35868002,3/31/2012,4/30/2012,75.33,4/16/2012,Paper
406,5284-DJOZO,36478577,8/7/2013,9/6/2013,73.35,8/15/2013,Electronic
818,5924-UOPGH,36620839,5/8/2013,6/7/2013,90.08,6/9/2013,Paper
406,9117-LYRCE,41324194,10/21/2012,11/20/2012,57.17,11/30/2012,Paper
818,7695-NKUXM,42511106,11/7/2012,12/7/2012,50.02,11/18/2012,Paper
391,8820-BLYDZ,46372811,2/21/2013,3/23/2013,61.96,2/28/2013,Paper
406,8976-AMJEO,46937392,5/16/2013,6/15/2013,69.88,6/4/2013,Electronic
818,5148-SYKLB,49331333,5/29/2013,6/28/2013,68.8,7/10/2013,Paper
818,3568-JJMFW,52765186,10/20/2013,11/19/2013,96.23,11/9/2013,Electronic
818,5613-UHVMG,55416013,11/30/2012,12/30/2012,42.01,1/16/2013,Electronic
406,6833-ETVHD,57081728,11/4/2012,12/4/2012,86.65,11/29/2012,Electronic
770,7758-WKLVM,57781566,6/24/2012,7/24/2012,71.49,8/7/2012,Electronic
818,6004-KITZM,58393139,1/6/2013,2/5/2013,88.16,1/29/2013,Paper
391,9841-XLGBV,72380981,2/16/2013,3/18/2013,26.44,3/6/2013,Electronic
897,8690-EEBEO,75181247,2/18/2012,3/19/2012,83.33,3/30/2012,Paper
391,8156-PCYBM,81932735,1/24/2012,2/23/2012,72.7,3/3/2012,Paper
818,7946-HJDUR,86171934,5/29/2013,6/28/2013,41.69,6/22/2013,Electronic
770,3831-FXWYK,93006859,12/24/2012,1/23/2013,24.46,1/31/2013,Paper
406,2621-XCLEH,97717897,3/31/2013,4/30/2013,70.93,5/25/2013,Electronic
