The hsb2 dataset is taken from a national survey of high school seniors. 
Two hundred observation were randomly sampled from the High School and 
Beyond survey. Descriptive statistics and exploratory data analysis are shown below.

Here is the list of variables in the file. 

  obs:           200    highschool and beyond (200 cases)
 vars:            12    28 Feb 2005 09:25
-----------------------------------------------------------------------------
              variable     
variable name   type   about the variable 
-----------------------------------------------------------------------------
id              scale  student id                  
female        nominal  (0/1)        
race          nominal  ethnicity (1=hispanic 2=asian 3=african-amer 4=white)        
ses           ordinal  (1=low 2=middle 3=high)           
schtyp        nominal  type of school (1=public 2=private)
prog          nominal  type of program (1=general 2=academic 3=vocational)
read            scale  standardized reading score
write           scale  standardized writing score
math            scale  standardized math score
science         scale  standardized science score
socst           scale  standardized social studies score
hon           nominal  honors english (0/1)

"id","female","race","ses","schtyp","prog","read","write","math","science","socst"
"1",70,"0","4","1","1","1",57,52,41,47,57
"2",121,"1","4","2","1","3",68,59,53,63,61
"3",86,"0","4","3","1","1",44,33,54,58,31
"4",141,"0","4","3","1","3",63,44,47,53,56
"5",172,"0","4","2","1","2",47,52,57,53,61
"6",113,"0","4","2","1","2",44,52,51,63,61
"7",50,"0","3","2","1","1",50,59,42,53,61
"8",11,"0","1","2","1","2",34,46,45,39,36
"9",84,"0","4","2","1","1",63,57,54,58,51
"10",48,"0","3","2","1","2",57,55,52,50,51
"11",75,"0","4","2","1","3",60,46,51,53,61
"12",60,"0","4","2","1","2",57,65,51,63,61
"13",95,"0","4","3","1","2",73,60,71,61,71
"14",104,"0","4","3","1","2",54,63,57,55,46
"15",38,"0","3","1","1","2",45,57,50,31,56
"16",115,"0","4","1","1","1",42,49,43,50,56
"17",76,"0","4","3","1","2",47,52,51,50,56
"18",195,"0","4","2","2","1",57,57,60,58,56
"19",114,"0","4","3","1","2",68,65,62,55,61
"20",85,"0","4","2","1","1",55,39,57,53,46
"21",167,"0","4","2","1","1",63,49,35,66,41
"22",143,"0","4","2","1","3",63,63,75,72,66
"23",41,"0","3","2","1","2",50,40,45,55,56
"24",20,"0","1","3","1","2",60,52,57,61,61
"25",12,"0","1","2","1","3",37,44,45,39,46
"26",53,"0","3","2","1","3",34,37,46,39,31
"27",154,"0","4","3","1","2",65,65,66,61,66
"28",178,"0","4","2","2","3",47,57,57,58,46
"29",196,"0","4","3","2","2",44,38,49,39,46
"30",29,"0","2","1","1","1",52,44,49,55,41
"31",126,"0","4","2","1","1",42,31,57,47,51
"32",103,"0","4","3","1","2",76,52,64,64,61
"33",192,"0","4","3","2","2",65,67,63,66,71
"34",150,"0","4","2","1","3",42,41,57,72,31
"35",199,"0","4","3","2","2",52,59,50,61,61
"36",144,"0","4","3","1","1",60,65,58,61,66
"37",200,"0","4","2","2","2",68,54,75,66,66
"38",80,"0","4","3","1","2",65,62,68,66,66
"39",16,"0","1","1","1","3",47,31,44,36,36
"40",153,"0","4","2","1","3",39,31,40,39,51
"41",176,"0","4","2","2","2",47,47,41,42,51
"42",177,"0","4","2","2","2",55,59,62,58,51
"43",168,"0","4","2","1","2",52,54,57,55,51
"44",40,"0","3","1","1","1",42,41,43,50,41
"45",62,"0","4","3","1","1",65,65,48,63,66
"46",169,"0","4","1","1","1",55,59,63,69,46
"47",49,"0","3","3","1","3",50,40,39,49,47
"48",136,"0","4","2","1","2",65,59,70,63,51
"49",189,"0","4","2","2","2",47,59,63,53,46
"50",7,"0","1","2","1","2",57,54,59,47,51
"51",27,"0","2","2","1","2",53,61,61,57,56
"52",128,"0","4","3","1","2",39,33,38,47,41
"53",21,"0","1","2","1","1",44,44,61,50,46
"54",183,"0","4","2","2","2",63,59,49,55,71
"55",132,"0","4","2","1","2",73,62,73,69,66
"56",15,"0","1","3","1","3",39,39,44,26,42
"57",67,"0","4","1","1","3",37,37,42,33,32
"58",22,"0","1","2","1","3",42,39,39,56,46
"59",185,"0","4","2","2","2",63,57,55,58,41
"60",9,"0","1","2","1","3",48,49,52,44,51
"61",181,"0","4","2","2","2",50,46,45,58,61
"62",170,"0","4","3","1","2",47,62,61,69,66
"63",134,"0","4","1","1","1",44,44,39,34,46
"64",108,"0","4","2","1","1",34,33,41,36,36
"65",197,"0","4","3","2","2",50,42,50,36,61
"66",140,"0","4","2","1","3",44,41,40,50,26
"67",171,"0","4","2","1","2",60,54,60,55,66
"68",107,"0","4","1","1","3",47,39,47,42,26
"69",81,"0","4","1","1","2",63,43,59,65,44
"70",18,"0","1","2","1","3",50,33,49,44,36
"71",155,"0","4","2","1","1",44,44,46,39,51
"72",97,"0","4","3","1","2",60,54,58,58,61
"73",68,"0","4","2","1","2",73,67,71,63,66
"74",157,"0","4","2","1","1",68,59,58,74,66
"75",56,"0","4","2","1","3",55,45,46,58,51
"76",5,"0","1","1","1","2",47,40,43,45,31
"77",159,"0","4","3","1","2",55,61,54,49,61
"78",123,"0","4","3","1","1",68,59,56,63,66
"79",164,"0","4","2","1","3",31,36,46,39,46
"80",14,"0","1","3","1","2",47,41,54,42,56
"81",127,"0","4","3","1","2",63,59,57,55,56
"82",165,"0","4","1","1","3",36,49,54,61,36
"83",174,"0","4","2","2","2",68,59,71,66,56
"84",3,"0","1","1","1","2",63,65,48,63,56
"85",58,"0","4","2","1","3",55,41,40,44,41
"86",146,"0","4","3","1","2",55,62,64,63,66
"87",102,"0","4","3","1","2",52,41,51,53,56
"88",117,"0","4","3","1","3",34,49,39,42,56
"89",133,"0","4","2","1","3",50,31,40,34,31
"90",94,"0","4","3","1","2",55,49,61,61,56
"91",24,"0","2","2","1","2",52,62,66,47,46
"92",149,"0","4","1","1","1",63,49,49,66,46
"93",82,"1","4","3","1","2",68,62,65,69,61
"94",8,"1","1","1","1","2",39,44,52,44,48
"95",129,"1","4","1","1","1",44,44,46,47,51
"96",173,"1","4","1","1","1",50,62,61,63,51
"97",57,"1","4","2","1","2",71,65,72,66,56
"98",100,"1","4","3","1","2",63,65,71,69,71
"99",1,"1","1","1","1","3",34,44,40,39,41
"100",194,"1","4","3","2","2",63,63,69,61,61
"101",88,"1","4","3","1","2",68,60,64,69,66
"102",99,"1","4","3","1","1",47,59,56,66,61
"103",47,"1","3","1","1","2",47,46,49,33,41
"104",120,"1","4","3","1","2",63,52,54,50,51
"105",166,"1","4","2","1","2",52,59,53,61,51
"106",65,"1","4","2","1","2",55,54,66,42,56
