id;female;race;read;write;avg
70;0;4;57;52;50.8
121;1;4;68;59;60.8
86;0;4;44;33;44
141;0;4;63;44;52.6
172;0;4;47;52;54
113;0;4;44;52;54.2
50;0;3;50;59;53
11;0;1;34;46;40
84;0;4;63;57;56.6
48;0;3;57;55;53
75;0;4;60;46;54.2
60;0;4;57;65;59.4
95;0;4;73;60;67.2
104;0;4;54;63;55
38;0;3;45;57;47.8
115;0;4;42;49;48
76;0;4;47;52;51.2
195;0;4;57;57;57.6
114;0;4;68;65;62.2
85;0;4;55;39;50
167;0;4;63;49;50.8
143;0;4;63;63;67.8
41;0;3;50;40;49.2
20;0;1;60;52;58.2
12;0;1;37;44;42.2
53;0;3;34;37;37.4
154;0;4;65;65;64.6
178;0;4;47;57;53
196;0;4;44;38;43.2
29;0;2;52;44;48.2
126;0;4;42;31;45.6
103;0;4;76;52;63.4
192;0;4;65;67;66.4
150;0;4;42;41;48.6
199;0;4;52;59;56.6
144;0;4;60;65;62
200;0;4;68;54;65.8
80;0;4;65;62;65.4
16;0;1;47;31;38.8
153;0;4;39;31;40
176;0;4;47;47;45.6
177;0;4;55;59;57
168;0;4;52;54;53.8
40;0;3;42;41;43.4
62;0;4;65;65;61.4
169;0;4;55;59;58.4
49;0;3;50;40;45
136;0;4;65;59;61.6
189;0;4;47;59;53.6
7;0;1;57;54;53.6
27;0;2;53;61;57.6
128;0;4;39;33;39.6
21;0;1;44;44;49
183;0;4;63;59;59.4
132;0;4;73;62;68.6
15;0;1;39;39;38
67;0;4;37;37;36.2
22;0;1;42;39;44.4
185;0;4;63;57;54.8
9;0;1;48;49;48.8
181;0;4;50;46;52
170;0;4;47;62;61
134;0;4;44;44;41.4
108;0;4;34;33;36
197;0;4;50;42;47.8
140;0;4;44;41;40.2
171;0;4;60;54;59
107;0;4;47;39;40.2
81;0;4;63;43;54.8
18;0;1;50;33;42.4
155;0;4;44;44;44.8
97;0;4;60;54;58.2
68;0;4;73;67;68
157;0;4;68;59;65
56;0;4;55;45;51
5;0;1;47;40;41.2
159;0;4;55;61;56
123;0;4;68;59;62.4
164;0;4;31;36;39.6
14;0;1;47;41;48
127;0;4;63;59;58
165;0;4;36;49;47.2
174;0;4;68;59;64
3;0;1;63;65;59
58;0;4;55;41;44.2
146;0;4;55;62;62
102;0;4;52;41;50.6
117;0;4;34;49;44
133;0;4;50;31;37.2
94;0;4;55;49;56.4
24;0;2;52;62;54.6
149;0;4;63;49;54.6
82;1;4;68;62;65
8;1;1;39;44;45.4
129;1;4;44;44;46.4
173;1;4;50;62;57.4
57;1;4;71;65;66
100;1;4;63;65;67.8
1;1;1;34;44;39.6
194;1;4;63;63;63.4
88;1;4;68;60;65.4
99;1;4;47;59;57.8
47;1;3;47;46;43.2
120;1;4;63;52;54
166;1;4;52;59;55.2
65;1;4;55;54;54.6
101;1;4;60;62;59
89;1;4;35;35;38.8
54;1;3;47;54;50.6
180;1;4;71;65;66.8
162;1;4;57;52;53.2
4;1;1;44;50;45
131;1;4;65;59;58.6
125;1;4;68;65;61.2
34;1;1;73;61;62.4
106;1;4;36;44;40
130;1;4;43;54;50.6
93;1;4;73;67;65.2
163;1;4;52;57;57.4
37;1;3;41;47;43.6
35;1;1;60;54;53
87;1;4;50;52;50.8
73;1;4;50;52;50
151;1;4;47;46;47.8
44;1;3;47;62;46.8
152;1;4;55;57;57.4
105;1;4;50;41;47.2
28;1;2;39;53;47.4
91;1;4;50;49;49.6
45;1;3;34;35;33
116;1;4;57;59;55.2
33;1;2;57;65;60.8
66;1;4;68;62;57.4
72;1;4;42;54;47.2
77;1;4;61;59;55.8
61;1;4;76;63;66.4
190;1;4;47;59;52.8
42;1;3;46;52;50.6
2;1;1;39;41;39.2
55;1;3;52;49;51
19;1;1;28;46;42.4
90;1;4;42;54;49.6
142;1;4;47;42;46.2
17;1;1;47;57;47.4
122;1;4;52;59;57.6
191;1;4;47;52;50.2
83;1;4;50;62;47.8
182;1;4;44;52;46.8
6;1;1;47;41;43
46;1;3;45;55;43.8
43;1;3;47;37;43
96;1;4;65;54;58.8
138;1;4;43;57;48.2
10;1;1;47;54;52.8
71;1;4;57;62;59.8
139;1;4;68;59;62.8
110;1;4;52;55;54.4
148;1;4;42;57;51.6
109;1;4;42;39;41.2
39;1;3;66;67;65.4
147;1;4;47;62;55.2
74;1;4;57;50;53.2
198;1;4;47;61;50.6
161;1;4;57;62;62.6
112;1;4;52;59;55
69;1;4;44;44;39.8
156;1;4;50;59;56.8
111;1;4;39;54;43
186;1;4;57;62;55.6
98;1;4;57;60;51.6
119;1;4;42;57;47.4
13;1;1;47;46;48
51;1;3;42;36;38
26;1;2;60;59;58.6
36;1;3;44;49;44.6
135;1;4;63;60;61.6
59;1;4;65;67;64.2
78;1;4;39;54;48.2
64;1;4;50;52;48.2
63;1;4;52;65;56.8
79;1;4;60;62;54.4
193;1;4;44;49;46.2
92;1;4;52;67;60
160;1;4;55;65;57.2
32;1;2;50;67;61
23;1;2;65;65;64.6
158;1;4;52;54;53
25;1;2;47;44;42.2
188;1;4;63;62;59.4
52;1;3;50;46;53.6
124;1;4;42;54;44
175;1;4;36;57;45.2
184;1;4;50;52;53.2
30;1;2;41;59;45.4
179;1;4;47;65;55.6
31;1;2;55;59;52.8
145;1;4;42;46;41.6
187;1;4;57;41;52.4
118;1;4;55;62;58.8
137;1;4;63;65;61.4
