mpg,cyl,disp,hp
21,6,160,110
21,6,160,110
22.8,4,108,93
21.4,6,258,110
18.7,8,360,175
18.1,6,225,105
14.3,8,360,245
24.4,4,146.7,62
22.8,4,140.8,95
19.2,6,167.6,123
17.8,6,167.6,123
16.4,8,275.8,180
17.3,8,275.8,180
15.2,8,275.8,180
10.4,8,472,205
10.4,8,460,215
14.7,8,440,230
32.4,4,78.7,66
30.4,4,75.7,52
33.9,4,71.1,65
21.5,4,120.1,97
15.5,8,318,150
15.2,8,304,150
13.3,8,350,245
19.2,8,400,175
27.3,4,79,66
26,4,120.3,91
30.4,4,95.1,113
15.8,8,351,264
19.7,6,145,175
15,8,301,335
21.4,4,121,109
